"cnes","ano","te_sfa"
6123740,2020,0.870550070144289
6164366,2020,0.83389255666367
6236596,2020,0.999433187855357
6878687,2020,0.999431014729472
6943284,2020,0.926594931270821
6966594,2020,0.935738303598683
7320175,2020,0.739371250985256
7373465,2020,0.916298748779533
7473702,2020,0.626581801972253
7573162,2020,0.999435192161535
7580770,2020,0.890260436714754
7711980,2020,0.926104807023538
8028,2021,0.914201295182883
8036,2021,0.927179463310595
8052,2021,0.61128289601868
8923,2021,0.950704959517753
9601,2021,0.75943019720947
9628,2021,0.965153705516182
2022621,2021,0.889301583504956
2022648,2021,0.425523706888215
2023016,2021,0.735721990244591
2023474,2021,0.852804348317088
2023709,2021,0.8728469482969
2024691,2021,0.814809629636029
2024756,2021,0.829720767571065
2025361,2021,0.883402232033661
2025477,2021,0.622106884461968
2025507,2021,0.867577137395887
2025752,2021,0.508223588859845
2026805,2021,0.746673569753571
2027186,2021,0.869485415887777
2027356,2021,0.943462169864284
2028204,2021,0.474522720263337
2028239,2021,0.862616871943877
2028840,2021,0.358062626752804
2040069,2021,0.932001274849782
2058308,2021,0.924082214249906
2058790,2021,0.916162527684102
2065665,2021,0.91346368970426
2066092,2021,0.999436563042587
2066572,2021,0.875020532030902
2069776,2021,0.932935106665466
2071371,2021,0.777349355609813
2071568,2021,0.832326473034337
2075717,2021,0.92592337682798
2075962,2021,0.624226450398803
2076896,2021,0.928477199818781
2076926,2021,0.879139621741296
2076985,2021,0.349856032635366
2077388,2021,0.939231012822491
2077396,2021,0.94686225023267
2077426,2021,0.999434434038737
2077434,2021,0.999432899276578
2077450,2021,0.626974059931608
2077477,2021,0.918380697985592
2077485,2021,0.891371329805718
2077493,2021,0.849667558194704
2077507,2021,0.11794678496662
2077523,2021,0.879574837678156
2077531,2021,0.461958989281697
2077574,2021,0.999436118199338
2077582,2021,0.603595893054032
2077590,2021,0.523824340748835
2077620,2021,0.999434634690468
2077639,2021,0.834458862585548
2077647,2021,0.681539451988122
2077655,2021,0.41677471050855
2077671,2021,0.999435026346952
2077701,2021,0.853507917632635
2078015,2021,0.962459019564755
2078074,2021,0.803269159659651
2078104,2021,0.999433540212297
2078139,2021,0.603867152759166
2078155,2021,0.264820202995746
2078252,2021,0.78281699741363
2078287,2021,0.813288838891794
2078295,2021,0.80949826583067
2078325,2021,0.947625973819853
2078414,2021,0.814845148296291
2078465,2021,0.526937277572858
2078473,2021,0.906407612956745
2078503,2021,0.83016498863763
2078511,2021,0.523354463999707
2078562,2021,0.999434565586491
2078775,2021,0.853085579820641
2078848,2021,0.76663632734946
2079097,2021,0.74820191926032
2079135,2021,0.876939710162364
2079186,2021,0.948974927538007
2079194,2021,0.321823603605761
2079208,2021,0.308295379898349
2079232,2021,0.862264907954287
2079240,2021,0.391939260594273
2079321,2021,0.780531100765167
2079356,2021,0.588668847340356
2079364,2021,0.681451974548284
2079410,2021,0.606501465805956
2079593,2021,0.755304247535533
2079615,2021,0.899576608541617
2079704,2021,0.82494565802806
2079720,2021,0.999431533638479
2079798,2021,0.870262036119002
2079828,2021,0.999433823680935
2079836,2021,0.75225114035501
2079860,2021,0.892055278705461
2079895,2021,0.715164959494332
2079925,2021,0.867121845131183
2080028,2021,0.918773474726058
2080044,2021,0.510969220065643
2080052,2021,0.933809228332039
2080079,2021,0.872720995930959
2080087,2021,0.87065137364521
2080095,2021,0.578414139327122
2080125,2021,0.879047361328127
2080192,2021,0.595252729976391
2080222,2021,0.663394109684372
2080273,2021,0.999432957582464
2080281,2021,0.475788995646703
2080338,2021,0.999434257543833
2080346,2021,0.93775294328356
