"cnes","ano","categoria","te_bcc_leitos"
2790998,2015,"Filantrópico",0.0255233831189322
2791676,2015,"Filantrópico",0.301939716649234
2791692,2015,"Filantrópico",0.267326732673267
2791722,2015,"Filantrópico",0.636491793374283
2791749,2015,"Filantrópico",0.306076964984399
2792141,2015,"OSS",1
2792168,2015,"OSS",0.930796618984209
2792176,2015,"OSS",0.878574098595388
2798298,2015,"Filantrópico",0.795393153820899
2812703,2015,"Filantrópico",0.10801807543016
3001466,2015,"OSS",0.110386480199546
3012212,2015,"Público Municipal",0.763698721186824
3021378,2015,"Público Municipal",0.537727698178414
3028399,2015,"OSS",0.445486660981849
3126838,2015,"OSS",0.565098926793448
3139050,2015,"Público Municipal",0.691664776960705
3212130,2015,"Público Municipal",0.634864504965875
3223728,2015,"Filantrópico",0.0807365439093484
3753433,2015,"Filantrópico",0.117155569555459
3774554,2015,"Público Municipal",0.80875520666453
4049020,2015,"Filantrópico",0.434706607603203
5200105,2015,"Público Municipal",0.697374832500914
5366828,2015,"Filantrópico",0.617959968744365
5420938,2015,"Público Municipal",0.792668069961708
5586348,2015,"Privado",1
5718368,2015,"Público Municipal",0.901182316222776
5860490,2015,"Filantrópico",0.213207011384464
5935857,2015,"Público Municipal",0.613428684942392
6020917,2015,"Público Municipal",0.563494255413168
6053858,2015,"Público Municipal",0.692290811385979
6095666,2015,"Público Municipal",0.68517044634907
6123740,2015,"Direta",0.833526427662416
6164366,2015,"Direta",0.626556885585227
6236596,2015,"OSS",0.736242619055938
6878687,2015,"OSS",0.432442711799943
6943284,2015,"Público Municipal",0.5752238985394
6966594,2015,"Público Municipal",0.684602343922754
7320175,2015,"Filantrópico",0.127810127515294
7373465,2015,"Público Municipal",0.412198841048379
7473702,2015,"Público Municipal",0.412475040410763
7573162,2015,"OSS",0.664832645575424
7580770,2015,"Direta",0.595923724233768
7711980,2015,"Público Municipal",0.00518353773484993
8028,2016,"Público Municipal",0.566126624790099
8036,2016,"Público Municipal",0.492542031833459
8052,2016,"Direta",0.216506196031566
8923,2016,"Público Municipal",0.5471602854609
9601,2016,"Filantrópico",0.616695778010294
9628,2016,"Público Municipal",0.820058636696799
2022621,2016,"Filantrópico",0.407258142307588
2022648,2016,"Filantrópico",0.0737166342742007
