etapa,cnes,nome_referencia,motivo,anos_removidos
ETAPA B,2083493,Santa Casa De Pontal,mediana de leitos = 45.0 (corte: > 50),11
ETAPA B,2083973,Santa Casa De Guara,mediana de leitos = 48.0 (corte: > 50),11
ETAPA B,2084007,Unidade Mista De Saude Dr Jose Orlando S Borgatto,mediana de leitos = 11.0 (corte: > 50),11
ETAPA B,2084023,Hospital Municipal De Nazare Paulista,mediana de leitos = 20.0 (corte: > 50),11
ETAPA B,2084074,Hosp Maria Valle Pereira De Tabapua,mediana de leitos = 30.0 (corte: > 50),11
ETAPA B,2084139,Hosp Mun Dr Benedicto Montenegro,mediana de leitos = 50.0 (corte: > 50),11
ETAPA B,2084147,,mediana de leitos = 10.0 (corte: > 50),2
ETAPA B,2084252,Sobrapar Campinas,mediana de leitos = 19.0 (corte: > 50),11
ETAPA B,2084430,Hospital E Maternidade Madre Vannini Conchal Sp,mediana de leitos = 50.0 (corte: > 50),11
ETAPA B,2085577,,mediana de leitos = 30.0 (corte: > 50),5
ETAPA B,2085976,Psa Dr Ideir Hamamoto E Psi Givaldo Soares Da Silva,mediana de leitos = 27.0 (corte: > 50),11
ETAPA B,2086050,Maternidade Gota De Leite,mediana de leitos = 32.0 (corte: > 50),11
ETAPA B,2086271,Maternidade Municipal Zoraide Eva Das Dores,mediana de leitos = 19.0 (corte: > 50),11
ETAPA B,2086336,Hospital E Maternidade Mairipora,mediana de leitos = 47.0 (corte: > 50),11
ETAPA B,2086719,Santa Casa De Misericordia De Joanopolis,mediana de leitos = 11.0 (corte: > 50),11
ETAPA B,2087642,Unidade Mista De Saude Mons Cid Franca Santos,mediana de leitos = 15.0 (corte: > 50),7
ETAPA B,2089548,Santa Casa De Pitangueiras,mediana de leitos = 50.0 (corte: > 50),11
ETAPA B,2090171,Unidade Hospitalar Dr Jose Nigro Neto Americo Brasiliense,mediana de leitos = 18.0 (corte: > 50),11
ETAPA B,2090333,Santa Casa De Cerqueira Cesar,mediana de leitos = 41.0 (corte: > 50),11
ETAPA B,2090376,Hospital Municipal Julio Rodrigues De Paula Colombia,mediana de leitos = 20.0 (corte: > 50),11
ETAPA B,2090619,,mediana de leitos = 15.0 (corte: > 50),4
ETAPA B,2091356,Hospital Vital Brazil Sao Paulo,mediana de leitos = 11.0 (corte: > 50),11
ETAPA B,2091550,Inst Cema De Oftalmologia E Otorrinolaringologia,mediana de leitos = 31.0 (corte: > 50),11
ETAPA B,2091577,,mediana de leitos = 2.0 (corte: > 50),4
ETAPA B,2092093,Hospital E Maternidade Sao Vicente De Paulo Viradouro Sp,mediana de leitos = 48.0 (corte: > 50),11
ETAPA B,2092107,,mediana de leitos = 33.0 (corte: > 50),1
ETAPA B,2092395,Hospital Municipal Ibate,mediana de leitos = 27.0 (corte: > 50),11
ETAPA B,2092638,Santa Casa De Fartura,mediana de leitos = 20.0 (corte: > 50),11
ETAPA B,2092980,Hospital De Bastos,mediana de leitos = 35.0 (corte: > 50),11
ETAPA B,2093030,,mediana de leitos = 15.0 (corte: > 50),3
ETAPA B,2093197,,mediana de leitos = 13.0 (corte: > 50),2
ETAPA B,2093227,Irmandade Da Santa Casa De Misericordia De Itai,mediana de leitos = 35.0 (corte: > 50),11
ETAPA B,2093502,Hospital Sao Domingos Na Prov De Deus Nhandeara,mediana de leitos = 49.0 (corte: > 50),11
ETAPA B,2095912,Hospital Jose Venancio,mediana de leitos = 47.0 (corte: > 50),11
ETAPA B,2096196,Hospital Enf Antonio Policarpo De Oliveira,mediana de leitos = 49.0 (corte: > 50),11
ETAPA B,2096617,Hospital Assistencial Maria Cavalotti Neves Potirendaba,mediana de leitos = 31.0 (corte: > 50),11
ETAPA B,2688638,Inst Suel Abujamra,mediana de leitos = 16.0 (corte: > 50),11
ETAPA B,2698439,Seambesp Regiao Central Historica Santos,mediana de leitos = 1.0 (corte: > 50),5
ETAPA B,2698463,Secao Hospital E Maternidade Municipal Dr Silverio Fontes,mediana de leitos = 46.0 (corte: > 50),11
ETAPA B,2705249,Hospital Municipal Maria Rosa Cardoso,mediana de leitos = 34.0 (corte: > 50),11
ETAPA B,2707209,Sae Secao De Atendimento Especializado,mediana de leitos = 8.0 (corte: > 50),4
ETAPA B,2708760,Policlinica Municipal Dr Edward Maluf Sorocaba,mediana de leitos = 1.0 (corte: > 50),5
ETAPA B,2716275,Hospital E Maternidade Mae Do Divino Amor Na Prov Deus,mediana de leitos = 47.0 (corte: > 50),11
ETAPA B,2716291,Hospital Joao Velloso,mediana de leitos = 33.0 (corte: > 50),11
ETAPA B,2716593,Hospital De Misericordia Altinopolis,mediana de leitos = 31.0 (corte: > 50),11
ETAPA B,2716801,Hospital Da Crianca Grendacc,mediana de leitos = 16.0 (corte: > 50),9
ETAPA B,2745402,Santa Casa De Misericordia De Florida Paulista,mediana de leitos = 47.0 (corte: > 50),11
ETAPA B,2745801,Hospital Sao Marcos Morro Agudo,mediana de leitos = 45.0 (corte: > 50),11
ETAPA B,2746298,Santa Casa De Santa Rosa De Viterbo,mediana de leitos = 32.0 (corte: > 50),11
ETAPA B,2747685,Santa Casa De Misericordia Nova Europa,mediana de leitos = 16.0 (corte: > 50),11
ETAPA B,2747693,Santa Casa De Misericordia Ribeirao Bonito,mediana de leitos = 17.0 (corte: > 50),11
ETAPA B,2747871,Hospital Municipal Gov Mario Covas Jr,mediana de leitos = 48.0 (corte: > 50),11
ETAPA B,2748010,,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,2748320,,mediana de leitos = 6.0 (corte: > 50),2
ETAPA B,2748436,Hosp Mat Benef De Charqueada,mediana de leitos = 33.0 (corte: > 50),11
ETAPA B,2749149,Santa Casa De Misericordia De Tambau,mediana de leitos = 36.0 (corte: > 50),11
ETAPA B,2750538,Hospital Municipal De Iepe,mediana de leitos = 18.0 (corte: > 50),11
ETAPA B,2751011,Santa Casa Misericordia Padre Joao Schneider Martinopolis,mediana de leitos = 45.0 (corte: > 50),11
ETAPA B,2751569,Santa Casa De Misericordia De Cerquilho,mediana de leitos = 38.0 (corte: > 50),11
ETAPA B,2751674,Hospital E Maternidade Nossa Senhora Das Gracas,mediana de leitos = 48.0 (corte: > 50),11
ETAPA B,2766167,Hospital E Maternidade Sao Vicente De Paulo Rio Das Pedras,mediana de leitos = 39.0 (corte: > 50),8
ETAPA B,2773333,Santa Casa De Guararema,mediana de leitos = 35.0 (corte: > 50),11
ETAPA B,2791668,Santa Casa De Arealva,mediana de leitos = 29.0 (corte: > 50),11
ETAPA B,2791684,Santa Casa De Cafelandia,mediana de leitos = 48.0 (corte: > 50),11
ETAPA B,2791706,Santa Casa De Getulina,mediana de leitos = 38.0 (corte: > 50),8
ETAPA B,2791714,Santa Casa De Iacanga,mediana de leitos = 30.0 (corte: > 50),11
ETAPA B,2791730,Santa Casa De Misericordia De Bocaina,mediana de leitos = 35.0 (corte: > 50),11
ETAPA B,2791757,Santa Casa De Piratininga,mediana de leitos = 28.0 (corte: > 50),11
ETAPA B,2791773,Centro De Referencia Modulo I Sae Ii Adt Iii Hd,mediana de leitos = 8.0 (corte: > 50),11
ETAPA B,2792346,Upa Piracicamirim Dr Fortunato Losso Neto Piracicaba,mediana de leitos = 27.5 (corte: > 50),2
ETAPA B,2798239,Hospital Sao Jose Itirapina,mediana de leitos = 22.0 (corte: > 50),10
ETAPA B,2801051,Pronto Socorro Central De Diadema,mediana de leitos = 46.0 (corte: > 50),10
ETAPA B,2811626,Hospital Metropolitano Campinas,mediana de leitos = 25.0 (corte: > 50),3
ETAPA B,2831503,,mediana de leitos = 6.0 (corte: > 50),2
ETAPA B,2882949,,mediana de leitos = 26.0 (corte: > 50),4
ETAPA B,2888491,,mediana de leitos = 36.0 (corte: > 50),4
ETAPA B,2956098,,mediana de leitos = 24.0 (corte: > 50),4
ETAPA B,3071448,,mediana de leitos = 20.0 (corte: > 50),4
ETAPA B,3254631,Fundacao Penido Burnier Campinas,mediana de leitos = 4.0 (corte: > 50),7
ETAPA B,3314766,Hospital Electro Bonini Ribeirao Preto,mediana de leitos = 35.0 (corte: > 50),11
ETAPA B,3346110,,mediana de leitos = 19.0 (corte: > 50),1
ETAPA B,3701832,,mediana de leitos = 31.0 (corte: > 50),1
ETAPA B,3825752,Pronto Socorro Pestana P S Andre Sacco,mediana de leitos = 21.0 (corte: > 50),11
ETAPA B,3828107,Pronto Socorro Dr Osmar Mesquita,mediana de leitos = 12.0 (corte: > 50),9
ETAPA B,3949621,Hospital Municipal Dr Aucipio Da Silva Oliveira Junior,mediana de leitos = 33.0 (corte: > 50),11
ETAPA B,4047613,Pronto Socorro Da Vila Dirce,mediana de leitos = 17.0 (corte: > 50),11
ETAPA B,4048660,Ums De Juquitiba,mediana de leitos = 10.5 (corte: > 50),2
ETAPA B,4050665,Pronto Socorro Municipal De Taubate,mediana de leitos = 5.0 (corte: > 50),2
ETAPA B,4390563,,mediana de leitos = 20.0 (corte: > 50),2
ETAPA B,4702069,,mediana de leitos = 7.0 (corte: > 50),2
ETAPA B,5033543,Casa Transitoria Andre Luiz,mediana de leitos = 40.0 (corte: > 50),11
ETAPA B,5130883,Hsolhos,mediana de leitos = 8.0 (corte: > 50),8
ETAPA B,5435072,Pronto Socorro Jardim Jacira,mediana de leitos = 10.0 (corte: > 50),1
ETAPA B,5437156,Hospital Local De Sapopemba,mediana de leitos = 39.0 (corte: > 50),11
ETAPA B,5451612,Instituto De Reabilitacao Lucy Montoro,mediana de leitos = 49.0 (corte: > 50),11
ETAPA B,5550874,,mediana de leitos = 40.0 (corte: > 50),1
ETAPA B,5851084,Quarteirao Da Saude,mediana de leitos = 12.0 (corte: > 50),11
ETAPA B,5869412,Centro De Tratamento Fabiana Macedo De Morais,mediana de leitos = 30.0 (corte: > 50),11
ETAPA B,5887623,Hospital Estadual De Rib Preto Dr Carlos Eduardo Martinelli,mediana de leitos = 48.0 (corte: > 50),11
ETAPA B,5932696,Ps Fenelon Guedes Pereira,mediana de leitos = 10.0 (corte: > 50),10
ETAPA B,6014739,Policlinica,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,6024688,Psi Rene Aprigio Brunetti Da Silva,mediana de leitos = 13.0 (corte: > 50),11
ETAPA B,6166598,,mediana de leitos = 8.0 (corte: > 50),2
ETAPA B,6212581,Ame Ambulatorio Med De Especialidades Sta Barbara Doeste,mediana de leitos = 12.0 (corte: > 50),8
ETAPA B,6258484,,mediana de leitos = 2.0 (corte: > 50),1
ETAPA B,6270107,Upa Santo Antonio,mediana de leitos = 0.5 (corte: > 50),2
ETAPA B,6270131,Upa Jaguare,mediana de leitos = 15.0 (corte: > 50),2
ETAPA B,6451098,Hospital Dalila Ferreira Barbosa,mediana de leitos = 29.0 (corte: > 50),11
ETAPA B,6452302,,mediana de leitos = 19.0 (corte: > 50),3
ETAPA B,6591620,Pronto Atendimento Infantil,mediana de leitos = 26.0 (corte: > 50),11
ETAPA B,6603378,Hospital Municipal Leonardus Van Mellis,mediana de leitos = 15.0 (corte: > 50),11
ETAPA B,6607330,,mediana de leitos = 4.0 (corte: > 50),1
ETAPA B,6628842,Pam Posto De Atendimento Medico Barreto,mediana de leitos = 0.0 (corte: > 50),2
ETAPA B,6669727,Ame Ambulatorio Medico De Especialidades De Franca,mediana de leitos = 14.0 (corte: > 50),11
ETAPA B,6680968,Hospital Municipal Santo Antonio,mediana de leitos = 9.0 (corte: > 50),11
ETAPA B,6788122,,mediana de leitos = 8.0 (corte: > 50),2
ETAPA B,6821626,,mediana de leitos = 2.0 (corte: > 50),1
ETAPA B,6895263,,mediana de leitos = 5.0 (corte: > 50),2
ETAPA B,6919456,,mediana de leitos = 14.0 (corte: > 50),2
ETAPA B,6938361,Unidade Ambulatorial Hospital Sao Caetano,mediana de leitos = 0.0 (corte: > 50),2
ETAPA B,6950043,,mediana de leitos = 14.0 (corte: > 50),3
ETAPA B,6950051,,mediana de leitos = 14.0 (corte: > 50),3
ETAPA B,6992560,Ame Ambulatorio Medico De Especialidades Jundiai,mediana de leitos = 7.0 (corte: > 50),11
ETAPA B,6998194,Hosp Mun Sorocabana,mediana de leitos = 8.0 (corte: > 50),11
ETAPA B,7021461,Upa Sacadura Cabral,mediana de leitos = 20.0 (corte: > 50),11
ETAPA B,7047517,Upa Jardim Santo Andre,mediana de leitos = 23.0 (corte: > 50),10
ETAPA B,7066376,Hospital De Amor Jales,mediana de leitos = 37.0 (corte: > 50),9
ETAPA B,7094132,Unidade De Pronto Atendimento Upa I Santa Isabel,mediana de leitos = 9.0 (corte: > 50),2
ETAPA B,7113218,Upa Perimetral,mediana de leitos = 22.0 (corte: > 50),9
ETAPA B,7210094,Hospital Municipal De Conchas,mediana de leitos = 23.5 (corte: > 50),10
ETAPA B,7228163,Pronto Socorro Central,mediana de leitos = 13.0 (corte: > 50),11
ETAPA B,7299532,,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,7327021,,mediana de leitos = 2.0 (corte: > 50),1
ETAPA B,7371349,Hospital Dr Olavo Horneaux De Moura Sao Vicente,mediana de leitos = 39.0 (corte: > 50),9
ETAPA B,7378394,Unidade Hospitalar M Boi Mirim Ii,mediana de leitos = 5.0 (corte: > 50),10
ETAPA B,7420595,,mediana de leitos = 23.5 (corte: > 50),4
ETAPA B,7496117,,mediana de leitos = 9.0 (corte: > 50),3
ETAPA B,7544529,Inst De Infect Emilio Ribas Ii Baixada Santista,mediana de leitos = 46.0 (corte: > 50),11
ETAPA B,7603274,Hospital Municipal Sao Jose,mediana de leitos = 19.0 (corte: > 50),11
ETAPA B,7615280,Cantinho Do Ceu Ribeirao Preto,mediana de leitos = 35.0 (corte: > 50),11
ETAPA B,7682581,Ps Jose Ibrahin,mediana de leitos = 26.5 (corte: > 50),8
ETAPA B,7684452,Hol Clinica Medica Oftalmologica Limeira,mediana de leitos = 2.0 (corte: > 50),5
ETAPA B,7864124,,mediana de leitos = 50.0 (corte: > 50),1
ETAPA B,8002959,,mediana de leitos = 16.0 (corte: > 50),1
ETAPA B,9211861,Upa Iii Dr Thelmo De Almeida Cruz,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,9232141,Ame Amb Medico De Esp Francesco Leonardo Beira De Amparo,mediana de leitos = 2.0 (corte: > 50),7
ETAPA B,9267263,Unidade De Retaguarda De Urgencia E Diagnostico Do Melhado,mediana de leitos = 23.0 (corte: > 50),5
ETAPA B,9297715,,mediana de leitos = 18.0 (corte: > 50),2
ETAPA B,9314687,,mediana de leitos = 2.0 (corte: > 50),4
ETAPA B,9567674,,mediana de leitos = 1.0 (corte: > 50),3
ETAPA B,9580743,Ame Sao Vicente,mediana de leitos = 10.0 (corte: > 50),7
ETAPA B,9677011,,mediana de leitos = 0.0 (corte: > 50),1
ETAPA C1,102083,Hospital De Campanha Covid 19 Sms Sp Anhembi P 38,hospital de campanha COVID (produção restrita a [2020]),1
ETAPA C1,104795,Hospital De Campanha Covid 19 Hospital Vitoria,"hospital de campanha COVID (produção restrita a [2020, 2021]) [fora do critério literal de classe — regra ampliada D-C1]",2
ETAPA C1,105759,Hospital De Campanha Covid 19 Hospital De Urgencia,"hospital de campanha COVID (produção restrita a [2020, 2021]) [fora do critério literal de classe — regra ampliada D-C1]",2
ETAPA C1,105856,Hospital De Campanha Covid 19 Ser,hospital de campanha COVID (produção restrita a [2020]),1
ETAPA C1,109746,Hospital De Campanha Covid 19 Pedro Dell Antonia,"hospital de campanha COVID (produção restrita a [2020, 2021]) [fora do critério literal de classe — regra ampliada D-C1]",2
ETAPA C1,113123,Hospital De Campanha Covid 19 Sms Sp Anhembi P 35,hospital de campanha COVID (produção restrita a [2020]),1
ETAPA D,8478,,presente em 5/11 anos com produção,5
ETAPA D,9539,,presente em 8/11 anos com produção,8
ETAPA D,9636,,presente em 1/11 anos com produção,1
ETAPA D,92894,Hospital Regional Do Litoral Norte,presente em 6/11 anos com produção,6
ETAPA D,102075,Hospital Municipal Da Bela Vista Santa Dulce Dos Pobres,presente em 5/11 anos com produção,5
ETAPA D,102105,Hospital Municipal Brasilandia,presente em 6/11 anos com produção,6
ETAPA D,105767,Hospital De Campanha Covid 19 Hospital Anchieta,presente em 3/11 anos com produção,3
ETAPA D,127604,Hospital De Campanha Covid 19 Jardim Paulista,presente em 6/11 anos com produção,6
ETAPA D,158100,Hospital Municipal Brigadeiro,presente em 3/11 anos com produção,3
ETAPA D,161438,Hospital Municipal Guarapiranga,presente em 6/11 anos com produção,6
ETAPA D,189979,Hospital De Campanha Covid 19 Caraguatatuba,presente em 3/11 anos com produção,3
ETAPA D,605484,Amhe Med Sorocaba,presente em 5/11 anos com produção,5
ETAPA D,2023644,,presente em 3/11 anos com produção,3
ETAPA D,2025523,,presente em 4/11 anos com produção,4
ETAPA D,2058332,,presente em 6/11 anos com produção,6
ETAPA D,2058391,,presente em 2/11 anos com produção,2
ETAPA D,2058502,,presente em 2/11 anos com produção,2
ETAPA D,2058774,,presente em 2/11 anos com produção,2
ETAPA D,2077469,,presente em 1/11 anos com produção,1
ETAPA D,2078023,,presente em 4/11 anos com produção,4
ETAPA D,2078236,,presente em 4/11 anos com produção,4
ETAPA D,2078570,Hospital Cantareira,presente em 4/11 anos com produção,4
ETAPA D,2078589,,presente em 1/11 anos com produção,1
ETAPA D,2078597,,presente em 3/11 anos com produção,3
ETAPA D,2079038,Hospital Sao Paulo Ribeirao Preto,presente em 2/11 anos com produção,2
ETAPA D,2079275,Hospital Ribeirao Preto,presente em 6/11 anos com produção,6
ETAPA D,2079569,,presente em 1/11 anos com produção,1
ETAPA D,2080656,,presente em 1/11 anos com produção,1
ETAPA D,2080672,,presente em 3/11 anos com produção,3
ETAPA D,2080699,Hospital Unimed Piracicaba,presente em 5/11 anos com produção,5
ETAPA D,2080729,,presente em 3/11 anos com produção,3
ETAPA D,2080818,,presente em 2/11 anos com produção,2
ETAPA D,2081113,Hospital Santa Filomena De Rio Claro,presente em 8/11 anos com produção,8
ETAPA D,2081288,,presente em 3/11 anos com produção,3
ETAPA D,2081547,,presente em 4/11 anos com produção,4
ETAPA D,2081644,Hospital Frei Galvao,presente em 10/11 anos com produção,10
ETAPA D,2081946,Casa De Saude,presente em 3/11 anos com produção,3
ETAPA D,2082616,,presente em 4/11 anos com produção,4
ETAPA D,2082624,Hospital Japones Santa Cruz,presente em 8/11 anos com produção,8
ETAPA D,2082683,,presente em 1/11 anos com produção,1
ETAPA D,2082918,,presente em 4/11 anos com produção,4
ETAPA D,2083221,,presente em 3/11 anos com produção,3
ETAPA D,2084198,,presente em 5/11 anos com produção,5
ETAPA D,2084279,,presente em 2/11 anos com produção,2
ETAPA D,2084287,,presente em 4/11 anos com produção,4
ETAPA D,2086263,,presente em 4/11 anos com produção,4
ETAPA D,2089084,,presente em 1/11 anos com produção,1
ETAPA D,2089637,,presente em 2/11 anos com produção,2
ETAPA D,2089777,,presente em 1/11 anos com produção,1
ETAPA D,2096625,,presente em 1/11 anos com produção,1
ETAPA D,2097605,,presente em 3/11 anos com produção,3
ETAPA D,2708558,,presente em 2/11 anos com produção,2
ETAPA D,2751747,,presente em 4/11 anos com produção,4
ETAPA D,2752077,Hosp Do Serv Pub Municipal Hspm,presente em 8/11 anos com produção,8
ETAPA D,3058808,,presente em 4/11 anos com produção,4
ETAPA D,3529282,,presente em 3/11 anos com produção,3
ETAPA D,3880966,,presente em 4/11 anos com produção,4
ETAPA D,4123077,,presente em 3/11 anos com produção,3
ETAPA D,4233646,,presente em 2/11 anos com produção,2
ETAPA D,4943309,,presente em 1/11 anos com produção,1
ETAPA D,5171946,Hospital Sao Lucas Ribeirania,presente em 1/11 anos com produção,1
ETAPA D,6585019,,presente em 1/11 anos com produção,1
ETAPA D,6817203,Hospital De Clinicas Caieiras,presente em 1/11 anos com produção,1
ETAPA D,6891411,Ibcc Unidade Jacana,presente em 5/11 anos com produção,5
ETAPA D,6984649,Bp Hospital Filantropico,presente em 7/11 anos com produção,7
ETAPA D,6998704,Complexo Hospitalar Dos Estivadores,presente em 9/11 anos com produção,9
ETAPA D,7252455,Ais Uninove Vergueiro,presente em 3/11 anos com produção,3
ETAPA D,7400926,Fundacao Hospital Regional Do Cancer,presente em 5/11 anos com produção,5
ETAPA D,7894260,,presente em 2/11 anos com produção,2
ETAPA D,7947984,Complexo Municipal De Saude,presente em 10/11 anos com produção,10
ETAPA D,7965192,,presente em 3/11 anos com produção,3
ETAPA D,8005877,Hospital Sao Marcos Jaboticabal,presente em 6/11 anos com produção,6
ETAPA D,9377255,,presente em 4/11 anos com produção,4
ETAPA D,9425802,Hospital Regional De Piracicaba,presente em 8/11 anos com produção,8
ETAPA D,9465464,Hosp Mun Josanias Castanha Braga,presente em 6/11 anos com produção,6
ETAPA D,9491112,Hospital Regional De Sorocaba,presente em 8/11 anos com produção,8
ETAPA D,9491252,Dr Rubens Savastano Hospital Regional De Sao Jose Dos Campos,presente em 8/11 anos com produção,8
ETAPA D,9556095,Hospital Regional De Registro Registro,presente em 7/11 anos com produção,7
ETAPA D,9639659,Santa Casa De Misericordia De Cosmopolis,presente em 7/11 anos com produção,7
ETAPA D,9662561,Hospital De Amor Nossa Senhora,presente em 2/11 anos com produção,2
ETAPA D,9680500,Ahbb,presente em 8/11 anos com produção,8
ETAPA D,9773657,Hospital Estadual De Serrana,presente em 7/11 anos com produção,7
ETAPA E,2042894,Secao Pronto Socorro Central Sepros C,sem pontuação de Barcelona na planilha de classificação,11
ETAPA E,2078031,Hospital Santa Tereza De Ribeirao Preto,sem pontuação de Barcelona na planilha de classificação,11
ETAPA E,2082209,Ps E Maternidade Nair Fonseca Leitao Arantes,sem pontuação de Barcelona na planilha de classificação,11
