etapa,cnes,nome_referencia,motivo,anos_removidos
ETAPA B,2079011,Hosp Leito E Pronto Atendimento Aurelino Alves Dos Santos,mediana de leitos = 41.0 (corte: > 50),11
ETAPA B,2079046,,mediana de leitos = 14.0 (corte: > 50),1
ETAPA B,2079119,Centro De Ref Da Saude Da Mulher De R Preto Mater,mediana de leitos = 49.0 (corte: > 50),11
ETAPA B,2079178,Maternidade Municipal,mediana de leitos = 8.0 (corte: > 50),11
ETAPA B,2079216,Hospital E Maternidade Jose Fortuna,mediana de leitos = 31.0 (corte: > 50),11
ETAPA B,2079224,Hospital Sao Jose,mediana de leitos = 30.0 (corte: > 50),11
ETAPA B,2079283,Santa Casa De Panorama,mediana de leitos = 36.0 (corte: > 50),8
ETAPA B,2079291,Santa Casa De Palmeira Doeste,mediana de leitos = 20.0 (corte: > 50),11
ETAPA B,2079313,Hospital Sao Roque Cabreuva,mediana de leitos = 16.0 (corte: > 50),11
ETAPA B,2079348,Santa Casa De Igarapava,mediana de leitos = 47.0 (corte: > 50),11
ETAPA B,2079380,Santa Casa De Salesopolis,mediana de leitos = 19.0 (corte: > 50),11
ETAPA B,2079399,Santa Casa De Misericordia Tabatinga Sp,mediana de leitos = 35.0 (corte: > 50),11
ETAPA B,2079402,Santa Casa Sao Vicente De Paulo Boa Esperanca Do Sul,mediana de leitos = 15.0 (corte: > 50),11
ETAPA B,2079429,Santa Casa Salto De Pirapora,mediana de leitos = 44.0 (corte: > 50),11
ETAPA B,2079437,Hospital Beneficente De Maracai,mediana de leitos = 26.0 (corte: > 50),11
ETAPA B,2079461,Santa Casa De Misericordia Sao Francisco Buritama,mediana de leitos = 34.0 (corte: > 50),11
ETAPA B,2079496,Santa Casa De Cravinhos,mediana de leitos = 15.0 (corte: > 50),11
ETAPA B,2079518,Santa Casa De Mis E Maternidade N Sra Da Conceicao Cunha,mediana de leitos = 40.0 (corte: > 50),11
ETAPA B,2079550,Santa Casa De Santa Adelia,mediana de leitos = 24.0 (corte: > 50),11
ETAPA B,2079682,Santa Casa De Neves Paulista,mediana de leitos = 21.0 (corte: > 50),11
ETAPA B,2079690,Santa Casa De Misericordia De Sao Luiz Do Paraitinga,mediana de leitos = 25.0 (corte: > 50),11
ETAPA B,2079852,Santa Casa De Piracaia,mediana de leitos = 37.0 (corte: > 50),11
ETAPA B,2079879,Santa Casa De Taquarituba,mediana de leitos = 49.0 (corte: > 50),11
ETAPA B,2079909,Hosp Beneficente De Pirangi,mediana de leitos = 41.0 (corte: > 50),11
ETAPA B,2079917,Santa Casa De Louveira,mediana de leitos = 40.0 (corte: > 50),11
ETAPA B,2079968,Santa Casa De Urania,mediana de leitos = 26.0 (corte: > 50),11
ETAPA B,2079976,Santa Casa De Laranjal Paulista,mediana de leitos = 46.0 (corte: > 50),11
ETAPA B,2080109,Santa Casa De Populina,mediana de leitos = 18.0 (corte: > 50),11
ETAPA B,2080141,,mediana de leitos = 25.0 (corte: > 50),1
ETAPA B,2080184,Hospital Municipal,mediana de leitos = 30.0 (corte: > 50),7
ETAPA B,2080206,,mediana de leitos = 19.0 (corte: > 50),1
ETAPA B,2080362,Casa De Saude De Indiapora,mediana de leitos = 36.0 (corte: > 50),11
ETAPA B,2080370,Santa Casa De Pirajui,mediana de leitos = 49.0 (corte: > 50),11
ETAPA B,2080443,Hospital Da Casa Pia Sao Vicente De Paula,mediana de leitos = 45.0 (corte: > 50),11
ETAPA B,2080451,Irmandade Da Santa Casa De Misericordia De Ipua,mediana de leitos = 49.0 (corte: > 50),11
ETAPA B,2080486,,mediana de leitos = 30.0 (corte: > 50),1
ETAPA B,2080508,Santa Casa De Alvares Machado,mediana de leitos = 20.0 (corte: > 50),11
