cnes,ano,nome_fantasia,class_assistencial,porte_hospital,total_leitos,total_leitos_sus,leitos_internacao,leitos_sus,uti_total,uti_sus,diarias_internacao,diarias_uti,ocupacao_internacao,ocupacao_uti,cod_ibge,municipio,tipo_hospital,especializacao,n_linhas_resumo,qtde,qtde_obito_all,qtde_obito_sem_excl,dias_perm,valor,qtde_alta_complex,qtde_covid,dias_covid,valor_covid,n_linhas_prod,n_linhas_covid,mort_all,mort_sem_excl,tmp,custo_saida,pct_alta_complex,pct_covid_qtde,pct_covid_valor,faixa_complex_barcelona,pont_barcelona
2077434,2015,,OSS,Grande Porte,178,167,162,158,16,9,42487,2789,73.67262007976417,84.90106544901066,353620,Pariquera-Acu,05 HOSPITAL GERAL,N/A,1,9122.0,659.0,658.0,42487.0,8579616.470000023,272.0,0.0,0.0,0.0,3228,0,0.07224292918219688,0.07213330409997808,4.657640868230652,940.5411609296232,0.029818022363516772,,,4.0,339.0
2077450,2015,,Público Municipal,Médio Porte,103,103,95,95,8,8,34402,2420,99.21268925739005,82.87671232876713,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,6047.0,428.0,427.0,34402.0,4903409.669999998,30.0,0.0,0.0,0.0,1810,0,0.07077889862741855,0.07061352736894327,5.6891020340664795,810.8830279477423,0.00496113775425831,,,3.0,176.0
2077469,2015,,Filantrópico,Grande Porte,160,26,127,16,33,10,1182,211,20.23972602739726,5.780821917808219,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,722.0,3.0,3.0,1182.0,459814.25999999966,0.0,0.0,0.0,0.0,188,0,0.004155124653739612,0.004155124653739612,1.6371191135734071,636.8618559556782,0.0,,,2.0,85.0
2077477,2015,,Filantrópico,Especial,707,604,625,536,82,68,190818,23990,97.53526886117358,96.65592264302981,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,27474.0,1936.0,1936.0,190818.0,70496639.32999922,5558.0,0.0,0.0,0.0,10275,0,0.07046662298900778,0.07046662298900778,6.945402926403145,2565.9401372206166,0.20230035670088084,,,6.0,969.0
2077485,2015,,Filantrópico,Especial,794,735,677,621,117,114,156018,33930,68.83197670571107,81.54289834174477,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,24430.0,1276.0,1276.0,156018.0,52247318.41999985,4624.0,0.0,0.0,0.0,8969,0,0.052230863692181745,0.052230863692181745,6.38632828489562,2138.6540491199285,0.18927548096602537,,,6.0,1263.0
2077493,2015,,Direta,Grande Porte,291,265,252,236,39,29,49510,5683,57.47620153238913,53.68918280585734,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,7393.0,460.0,460.0,49510.0,6346277.569999999,65.0,0.0,0.0,0.0,2091,0,0.06222101988367375,0.06222101988367375,6.696875422697146,858.4170931962667,0.008792100635736507,,,4.0,485.0
2077507,2015,,Privado,Grande Porte,231,61,186,31,45,30,3415,467,30.18117543084401,4.264840182648402,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,560.0,22.0,22.0,3415.0,10436082.97999999,538.0,0.0,0.0,0.0,221,0,0.039285714285714285,0.039285714285714285,6.098214285714286,18635.862464285696,0.9607142857142857,,,2.0,80.0
2077515,2015,,Público Municipal,HPP,16,16,16,16,0,0,202,0,3.458904109589041,0.0,350310,Arandu,05 HOSPITAL GERAL,N/A,1,52.0,4.0,4.0,202.0,21118.069999999996,0.0,0.0,0.0,0.0,49,0,0.07692307692307693,0.07692307692307693,3.8846153846153846,406.1167307692307,0.0,,,2.0,6.0
2077523,2015,,Direta,Grande Porte,258,235,223,223,35,12,62650,3963,76.97032987284231,90.47945205479452,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,11261.0,591.0,590.0,62650.0,8332463.16,401.0,0.0,0.0,0.0,3252,0,0.05248201758280792,0.05239321552260012,5.563449072018471,739.939895213569,0.03560962614332652,,,4.0,509.0
2077531,2015,,Filantrópico,Grande Porte,360,193,315,181,45,12,41089,2696,62.194808143495045,61.55251141552512,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,004 ONCOLOGIA,1,6512.0,420.0,420.0,41089.0,16902377.610000007,2657.0,0.0,0.0,0.0,1998,0,0.0644963144963145,0.0644963144963145,6.309735872235872,2595.5739573095834,0.4080159705159705,,,4.0,319.0
