cnes,ano,nome_fantasia,class_assistencial,porte_hospital,total_leitos,total_leitos_sus,leitos_internacao,leitos_sus,uti_total,uti_sus,diarias_internacao,diarias_uti,ocupacao_internacao,ocupacao_uti,cod_ibge,municipio,tipo_hospital,especializacao,n_linhas_resumo,qtde,qtde_obito_all,qtde_obito_sem_excl,dias_perm,valor,qtde_alta_complex,qtde_covid,dias_covid,valor_covid,n_linhas_prod,n_linhas_covid
2058391,2015,,Filantrópico,Especial,657,38,594,28,63,10,6830,449,66.82974559686889,12.301369863013699,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,798.0,23.0,23.0,6830.0,8419691.559999997,797.0,0.0,0.0,0.0,180,0
2058405,2015,,Público Municipal,HPP,3,3,3,3,0,0,428,0,39.08675799086758,0.0,355200,Silveiras,15 UNIDADE MISTA,-,1,75.0,9.0,9.0,428.0,28893.159999999985,0.0,0.0,0.0,0.0,65,0
2058502,2015,,Direta,Especial,860,60,773,23,87,37,1789,189,21.310303752233473,1.399481673454276,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,236.0,1.0,1.0,1789.0,410310.61999999994,111.0,0.0,0.0,0.0,72,0
2058626,2015,,Filantrópico,Grande Porte,157,138,157,138,0,0,44737,0,88.81675600555886,0.0,351110,Catanduva,07 HOSPITAL ESPECIALIZADO,-,1,1517.0,3.0,3.0,44737.0,2225802.6299999994,0.0,0.0,0.0,0.0,112,0
2058774,2015,,DESATIVADO,Médio Porte,103,90,103,90,0,0,35177,0,107.08371385083714,0.0,354140,Presidente Prudente,07 HOSPITAL ESPECIALIZADO,-,1,1583.0,1.0,1.0,35177.0,1426239.3000000003,0.0,0.0,0.0,0.0,126,0
2058782,2015,,Filantrópico,Grande Porte,240,240,240,240,0,0,55789,0,63.68607305936073,0.0,354140,Presidente Prudente,07 HOSPITAL ESPECIALIZADO,-,1,2454.0,5.0,5.0,55789.0,2363924.630000001,0.0,0.0,0.0,0.0,78,0
2058790,2015,,Público Municipal,Médio Porte,118,116,105,105,13,11,32529,2972,84.87671232876713,74.02241594022416,350160,Americana,05 HOSPITAL GERAL,N/A,1,5988.0,447.0,446.0,32529.0,4826865.030000006,86.0,0.0,0.0,0.0,2024,0
2061562,2015,,Público Municipal,HPP,14,14,14,14,0,0,1160,0,22.70058708414873,0.0,352940,Maua,73 PRONTO ATENDIMENTO,-,1,496.0,46.0,46.0,1160.0,142806.7099999999,0.0,0.0,0.0,0.0,308,0
2065665,2015,,Direta,Médio Porte,110,92,100,82,10,10,17431,1747,58.239224858002004,47.863013698630134,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,1,5181.0,29.0,29.0,17431.0,4633269.080000005,0.0,0.0,0.0,0.0,245,0
2066092,2015,,OSS,Grande Porte,239,239,208,208,31,31,78536,6723,103.44573234984193,59.41670349094123,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,16664.0,781.0,781.0,78536.0,12970375.50999999,2.0,0.0,0.0,0.0,3751,0
2066572,2015,,Direta,Grande Porte,364,364,350,350,14,14,48635,2588,38.070450097847356,50.645792563600786,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,6169.0,645.0,645.0,48635.0,4783509.830000012,479.0,0.0,0.0,0.0,2651,0
2068974,2015,,Direta,HPP,19,19,19,19,0,0,13,0,0.18745493871665464,0.0,355030,Sao Paulo,62 HOSPITAL/DIA - ISOLADO,N/A,1,383.0,0.0,0.0,13.0,401058.05000000034,167.0,0.0,0.0,0.0,107,0
2069008,2015,,OSS,HPP,4,4,4,4,0,0,1,0,0.0684931506849315,0.0,355030,Sao Paulo,62 HOSPITAL/DIA - ISOLADO,N/A,1,632.0,0.0,0.0,1.0,196759.31999999983,0.0,0.0,0.0,0.0,198,0
2069776,2015,,Público Municipal,Grande Porte,170,170,155,155,15,15,45200,5461,79.89394608926204,99.74429223744292,354870,Sao Bernardo Do Campo,05 HOSPITAL GERAL,N/A,1,8251.0,414.0,414.0,45200.0,8169937.410000009,0.0,0.0,0.0,0.0,2550,0
2070766,2015,,Direta,Grande Porte,170,170,170,170,0,0,48677,0,78.44802578565672,0.0,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,-,1,2525.0,0.0,0.0,48677.0,2095270.73,0.0,0.0,0.0,0.0,83,0
2071371,2015,,Direta,Médio Porte,137,137,123,123,14,14,28788,3774,64.12295355830271,73.85518590998043,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,001 PEDIATRIA,1,5014.0,35.0,34.0,28788.0,6712308.609999984,1073.0,0.0,0.0,0.0,875,0
