cod_ibge7,cod_ibge6,lon,lat
3520905,352090,-49.60675,-23.06315
3521002,352100,-47.63742,-23.40299
3521101,352110,-47.7164,-22.44211
3521150,352115,-49.41008,-20.65614
3521200,352120,-48.55199,-24.49476
3521309,352130,-48.07289,-20.41124
3521408,352140,-47.52196,-22.59559
3521507,352150,-49.39971,-21.25943
3521606,352160,-51.34605,-21.48308
3521705,352170,-49.16364,-23.85905
3521804,352180,-49.06877,-23.48663
3521903,352190,-49.05645,-21.35467
3522000,352200,-48.80099,-21.95269
3522109,352210,-46.84052,-24.09292
3522158,352215,-48.84548,-24.62454
3522208,352220,-46.85097,-23.73164
3522307,352230,-48.09228,-23.63918
3522406,352240,-48.84304,-23.93253
3522505,352250,-46.96406,-23.54475
3522604,352260,-46.7665,-22.44714
3522653,352265,-49.22083,-24.56179
3522703,352270,-48.80483,-21.55888
3522802,352280,-49.46911,-23.66982
3522901,352290,-48.71269,-22.25478
3523008,352300,-51.44965,-20.6048
3523107,352310,-46.33678,-23.46751
3523206,352320,-49.32057,-24.07509
3523305,352330,-47.12451,-24.28124
3523404,352340,-46.82354,-23.01628
3523503,352350,-48.63658,-23.14417
3523602,352360,-47.8264,-22.31659
3523701,352370,-47.15966,-20.64587
3523800,352380,-46.92121,-21.75471
3523909,352390,-47.26177,-23.2944
3524006,352400,-47.06073,-23.14423
3524105,352410,-47.80377,-20.34128
3524204,352420,-48.41387,-20.63609
3524303,352430,-48.29084,-21.2273
3524402,352440,-45.9604,-23.30064
3524501,352450,-49.58379,-20.94498
3524600,352460,-48.04247,-24.7629
3524709,352470,-47.01261,-22.6898
3524808,352480,-50.55116,-20.27685
3524907,352490,-45.71269,-23.28429
3525003,352500,-46.90138,-23.53992
3525102,352510,-47.8313,-20.98446
3525201,352520,-46.72254,-23.12074
3525300,352530,-48.54032,-22.29837
3525409,352540,-47.58322,-20.3362
3525508,352550,-46.20224,-22.93588
3525607,352560,-50.79218,-22.2696
3525706,352570,-49.76696,-21.09798
3525805,352580,-49.79854,-21.97293
3525854,352585,-47.79052,-23.0959
3525904,352590,-46.89361,-23.20257
3526001,352600,-51.4387,-21.45306
3526100,352610,-47.62377,-24.19559
3526209,352620,-47.00859,-23.96009
3526308,352630,-45.22075,-23.08879
3526407,352640,-47.84853,-23.00705
3526506,352650,-51.0353,-21.15859
3526605,352660,-44.89711,-22.52019
3526704,352670,-47.34729,-22.17969
3526803,352680,-48.80703,-22.66312
3526902,352690,-47.36144,-22.60786
3527009,352700,-46.66157,-22.50852
3527108,352710,-49.69797,-21.66879
3527207,352720,-45.06208,-22.77751
3527256,352725,-50.23348,-20.95174
3527306,352730,-46.94506,-23.09027
3527405,352740,-50.99897,-21.64048
3527504,352750,-49.55664,-22.47415
3527603,352760,-47.7859,-21.57641
3527702,352770,-50.34406,-21.6701
3527801,352780,-49.79898,-22.4158
3527900,352790,-50.38908,-22.33153
3528007,352800,-48.7217,-22.47989
3528106,352810,-49.97116,-20.84467
3528205,352820,-50.19062,-20.105
3528304,352830,-50.22786,-20.59614
3528403,352840,-47.23039,-23.52805
3528502,352850,-46.55948,-23.32008
3528601,352860,-49.30061,-23.03364
3528700,352870,-52.07824,-22.13827
3528809,352880,-50.73569,-22.65097
3528858,352885,-49.14638,-21.25403
3528908,352890,-51.17518,-21.79389
3529005,352900,-49.98555,-22.17962
3529104,352910,-50.84046,-20.46884
3529203,352920,-51.12203,-22.14668
3529302,352930,-48.42226,-21.60978
3529401,352940,-46.4417,-23.65624
3529500,352950,-49.55552,-21.19464
3529609,352960,-50.18648,-20.38973
3529658,352965,-50.63054,-19.96783
3529708,352970,-48.14839,-20.16795
3529807,352980,-48.44371,-22.46244
3529906,352990,-47.36207,-24.16092
3530003,353000,-50.13449,-19.95441
3530102,353010,-51.14526,-21.10306
3530201,353020,-51.94999,-22.32038
3530300,353030,-49.50096,-20.80774
3530409,353040,-49.48798,-20.59145
3530508,353050,-47.01162,-21.44052
3530607,353060,-46.19423,-23.56367
3530706,353070,-46.99707,-22.23391
3530805,353080,-46.99025,-22.4561
3530904,353090,-47.58262,-22.93126
3531001,353100,-50.09254,-20.8656
3531100,353110,-46.66695,-24.07751
3531209,353120,-46.67599,-22.70147
3531308,353130,-48.55241,-21.24922
3531407,353140,-49.80137,-20.75166
3531506,353150,-48.68557,-20.89855
3531605,353160,-51.57464,-21.25495
3531704,353170,-45.80241,-22.92434
3531803,353180,-47.29009,-22.93643
3531902,353190,-48.18184,-20.6875
3532009,353200,-46.78657,-22.87656
3532058,353205,-48.17375,-21.5199
3532108,353210,-51.30737,-20.99989
3532157,353215,-51.21714,-22.6017
3532207,353220,-51.51929,-22.53799
3532306,353230,-45.39356,-23.40823
3532405,353240,-46.39232,-23.20911
3532504,353250,-49.64017,-20.84662
3532603,353260,-50.03682,-20.67548
3532702,353270,-49.77291,-20.88519
3532801,353280,-49.50891,-21.05486
3532827,353282,-48.9682,-24.18978
3532843,353284,-50.91653,-20.37388
3532868,353286,-50.34849,-20.77834
3532900,353290,-48.5548,-21.77756
3533007,353300,-49.32641,-20.45845
3533106,353310,-51.64996,-21.3175
3533205,353320,-51.51624,-21.14336
3533254,353325,-48.91814,-20.9866
3533304,353330,-50.24514,-20.8698
3533403,353340,-47.29249,-22.78896
3533502,353350,-49.28526,-21.46885
3533601,353360,-47.73751,-20.70815
3533700,353370,-49.96237,-22.45547
3533809,353380,-49.36479,-22.95387
3533908,353390,-48.93824,-20.69899
3534005,353400,-49.26906,-20.61972
3534104,353410,-50.09594,-22.14827
3534203,353420,-49.36874,-20.2043
3534302,353430,-47.88595,-20.68313
3534401,353440,-46.79601,-23.54888
3534500,353450,-50.25449,-22.28346
3534609,353460,-50.86354,-21.71846
3534708,353470,-49.86233,-22.96205
3534757,353475,-50.40118,-19.93852
3534807,353480,-51.74779,-21.48883
3534906,353490,-51.27673,-21.49598
3535002,353500,-49.49304,-20.30846
3535101,353510,-48.83103,-21.10934
3535200,353520,-50.76313,-20.42965
3535309,353530,-50.24707,-22.84163
3535408,353540,-51.86007,-21.47375
3535507,353550,-50.64161,-22.46439
3535606,353560,-45.63996,-23.48816
3535705,353570,-48.77831,-21.01127
3535804,353580,-48.77176,-23.4594
3535903,353590,-50.58647,-20.05733
3536000,353600,-50.82029,-21.83997
3536109,353610,-48.40384,-23.12114
3536208,353620,-47.85702,-24.68167
