cnes,ano,qtde_obito_all_covid,qtde_obito_sem_excl_covid,qtde_alta_complex_covid
2082810,2020,2.0,2.0,0.0
2082829,2020,13.0,13.0,0.0
2082845,2020,55.0,55.0,0.0
2082853,2020,74.0,74.0,0.0
2082861,2020,265.0,265.0,0.0
2082888,2020,75.0,75.0,0.0
2082926,2020,39.0,39.0,0.0
2082934,2020,1.0,1.0,0.0
2082942,2020,2.0,2.0,0.0
2083019,2020,13.0,13.0,0.0
2083027,2020,1.0,1.0,0.0
2083051,2020,21.0,21.0,0.0
2083086,2020,12.0,12.0,0.0
2083094,2020,15.0,15.0,0.0
2083116,2020,50.0,50.0,0.0
2083140,2020,5.0,5.0,0.0
2083175,2020,42.0,42.0,0.0
2083213,2020,0.0,0.0,0.0
2083264,2020,0.0,0.0,0.0
2083272,2020,16.0,16.0,0.0
2083493,2020,7.0,7.0,0.0
2083604,2020,43.0,43.0,0.0
2083876,2020,32.0,32.0,0.0
2083973,2020,0.0,0.0,0.0
2083981,2020,84.0,84.0,0.0
2084023,2020,1.0,1.0,0.0
2084058,2020,4.0,4.0,0.0
2084139,2020,5.0,5.0,0.0
2084163,2020,62.0,62.0,0.0
2084171,2020,118.0,118.0,0.0
2084228,2020,47.0,47.0,0.0
2084414,2020,154.0,154.0,0.0
2084422,2020,7.0,7.0,0.0
2084430,2020,3.0,3.0,0.0
2084473,2020,155.0,155.0,0.0
2085194,2020,23.0,23.0,0.0
2085976,2020,3.0,3.0,0.0
2086336,2020,4.0,4.0,0.0
2087057,2020,58.0,58.0,0.0
2087103,2020,98.0,98.0,0.0
2087111,2020,55.0,55.0,0.0
2087219,2020,15.0,15.0,0.0
2087618,2020,69.0,69.0,0.0
2087715,2020,12.0,12.0,0.0
2087804,2020,59.0,59.0,0.0
2088193,2020,34.0,34.0,0.0
2088487,2020,54.0,54.0,0.0
2088495,2020,173.0,173.0,0.0
2088517,2020,0.0,0.0,0.0
2088525,2020,1.0,1.0,0.0
2088576,2020,42.0,42.0,0.0
2089327,2020,0.0,0.0,0.0
2089335,2020,226.0,226.0,0.0
2089548,2020,9.0,9.0,0.0
2089696,2020,2.0,2.0,0.0
2090961,2020,38.0,38.0,0.0
2091267,2020,3.0,3.0,0.0
2091313,2020,65.0,65.0,0.0
2091399,2020,2.0,2.0,0.0
2091585,2020,74.0,74.0,0.0
2091755,2020,367.0,367.0,0.0
2092093,2020,0.0,0.0,0.0
2092298,2020,24.0,24.0,0.0
2092395,2020,0.0,0.0,0.0
2092611,2020,10.0,10.0,0.0
2092638,2020,1.0,1.0,0.0
2092980,2020,1.0,1.0,0.0
2093227,2020,0.0,0.0,0.0
2093324,2020,75.0,75.0,0.0
2093332,2020,47.0,47.0,0.0
2095912,2020,3.0,3.0,0.0
2096196,2020,2.0,2.0,0.0
2096412,2020,98.0,98.0,0.0
2096463,2020,14.0,14.0,0.0
2096498,2020,50.0,50.0,0.0
2096617,2020,0.0,0.0,0.0
2097877,2020,107.0,107.0,0.0
2688433,2020,82.0,82.0,0.0
2688573,2020,128.0,128.0,0.0
2688689,2020,270.0,270.0,0.0
2698463,2020,0.0,0.0,0.0
2698471,2020,4.0,4.0,0.0
2699915,2020,32.0,32.0,0.0
2702193,2020,27.0,27.0,0.0
2704900,2020,27.0,27.0,0.0
2705222,2020,29.0,29.0,0.0
2705249,2020,1.0,1.0,0.0
2705982,2020,91.0,91.0,0.0
2708779,2020,241.0,241.0,0.0
2716097,2020,175.0,175.0,0.0
2716593,2020,2.0,2.0,0.0
2745402,2020,0.0,0.0,0.0
2745798,2020,8.0,8.0,0.0
2745801,2020,3.0,3.0,0.0
2746298,2020,2.0,2.0,0.0
2747871,2020,8.0,8.0,0.0
2748029,2020,52.0,52.0,0.0
2748223,2020,80.0,80.0,0.0
2748436,2020,0.0,0.0,0.0
2748568,2020,8.0,8.0,0.0
2749149,2020,9.0,9.0,0.0
2749319,2020,89.0,89.0,0.0
2750538,2020,5.0,5.0,0.0
2750546,2020,16.0,16.0,0.0
2750988,2020,18.0,18.0,0.0
2751003,2020,0.0,0.0,0.0
2751011,2020,11.0,11.0,0.0
2751038,2020,6.0,6.0,0.0
2751046,2020,4.0,4.0,0.0
2751569,2020,4.0,4.0,0.0
2751623,2020,35.0,35.0,0.0
2751674,2020,0.0,0.0,0.0
2751704,2020,118.0,118.0,0.0
2752077,2020,6.0,6.0,0.0
2754843,2020,113.0,113.0,0.0
2755092,2020,36.0,36.0,0.0
2755130,2020,207.0,207.0,0.0
2758245,2020,41.0,41.0,0.0
2765934,2020,8.0,8.0,0.0
2765942,2020,4.0,4.0,0.0
2766167,2020,17.0,17.0,0.0
2772310,2020,40.0,40.0,0.0
2773333,2020,9.0,9.0,0.0
2784602,2020,174.0,174.0,0.0
2785188,2020,2.0,2.0,0.0
2785382,2020,16.0,16.0,0.0
2786435,2020,463.0,463.0,0.0
2786680,2020,1.0,1.0,0.0
2790602,2020,271.0,271.0,0.0
2790610,2020,18.0,18.0,0.0
2790637,2020,0.0,0.0,0.0
2791676,2020,14.0,14.0,0.0
2791684,2020,5.0,5.0,0.0
2791692,2020,0.0,0.0,0.0
2791722,2020,67.0,67.0,0.0
2791730,2020,0.0,0.0,0.0
2791749,2020,18.0,18.0,0.0
2791757,2020,1.0,1.0,0.0
2792141,2020,115.0,115.0,0.0
2792168,2020,23.0,23.0,0.0
2792176,2020,161.0,161.0,0.0
2798239,2020,1.0,1.0,0.0
2798298,2020,382.0,382.0,0.0
2801051,2020,6.0,6.0,0.0
2811626,2020,71.0,71.0,0.0
3001466,2020,3.0,3.0,0.0
3012212,2020,0.0,0.0,0.0
3021378,2020,200.0,200.0,0.0
3028399,2020,45.0,45.0,0.0
3126838,2020,42.0,42.0,0.0
3139050,2020,87.0,87.0,0.0
3212130,2020,90.0,90.0,0.0
3774554,2020,54.0,54.0,0.0
3825752,2020,0.0,0.0,0.0
3828107,2020,37.0,37.0,0.0
3949621,2020,0.0,0.0,0.0
4047613,2020,6.0,6.0,0.0
4049020,2020,40.0,40.0,0.0
5200105,2020,176.0,176.0,0.0
5366828,2020,0.0,0.0,0.0
5420938,2020,125.0,125.0,0.0
5437156,2020,58.0,58.0,0.0
5586348,2020,23.0,23.0,0.0
5718368,2020,442.0,442.0,0.0
5860490,2020,32.0,32.0,0.0
5887623,2020,20.0,20.0,0.0
5935857,2020,58.0,58.0,0.0
6014739,2020,13.0,13.0,0.0
6020917,2020,0.0,0.0,0.0
6024688,2020,0.0,0.0,0.0
6053858,2020,261.0,261.0,0.0
6095666,2020,395.0,395.0,0.0
6164366,2020,37.0,37.0,0.0
6270131,2020,15.0,15.0,0.0
6451098,2020,0.0,0.0,0.0
6628842,2020,0.0,0.0,0.0
6680968,2020,0.0,0.0,0.0
6878687,2020,8.0,8.0,0.0
6938361,2020,6.0,6.0,0.0
6984649,2020,0.0,0.0,0.0
6998704,2020,151.0,151.0,0.0
7021461,2020,6.0,6.0,0.0
7047517,2020,6.0,6.0,0.0
7113218,2020,6.0,6.0,0.0
7228163,2020,7.0,7.0,0.0
7320175,2020,5.0,5.0,0.0
7373465,2020,226.0,226.0,0.0
7473702,2020,330.0,330.0,0.0
7544529,2020,59.0,59.0,0.0
7603274,2020,0.0,0.0,0.0
7682581,2020,35.0,35.0,0.0
7711980,2020,122.0,122.0,0.0
7947984,2020,12.0,12.0,0.0
7992890,2020,0.0,0.0,0.0
9211861,2020,17.0,17.0,0.0
9425802,2020,173.0,173.0,0.0
9465464,2020,370.0,370.0,0.0
9491112,2020,85.0,85.0,0.0
9491252,2020,54.0,54.0,0.0
9556095,2020,82.0,82.0,0.0
9639659,2020,24.0,24.0,0.0
9662561,2020,194.0,194.0,0.0
9680500,2020,2.0,2.0,0.0
9773657,2020,57.0,57.0,0.0
8028,2021,294.0,294.0,0.0
8036,2021,0.0,0.0,0.0
8052,2021,399.0,399.0,0.0
8087,2021,49.0,49.0,0.0
8141,2021,6.0,6.0,0.0
8494,2021,6.0,6.0,0.0
8923,2021,1168.0,1168.0,0.0
9601,2021,0.0,0.0,0.0
9628,2021,960.0,960.0,0.0
21520,2021,15.0,15.0,0.0
24228,2021,9.0,9.0,0.0
34053,2021,1.0,1.0,0.0
92894,2021,155.0,155.0,0.0
102075,2021,217.0,217.0,0.0
102105,2021,809.0,809.0,0.0
102741,2021,177.0,177.0,0.0
102792,2021,63.0,63.0,0.0
102806,2021,18.0,18.0,0.0
103462,2021,47.0,47.0,0.0
104795,2021,332.0,332.0,0.0
104892,2021,113.0,113.0,0.0
105120,2021,1.0,1.0,0.0
105589,2021,14.0,14.0,0.0
105597,2021,3.0,3.0,0.0
105708,2021,12.0,12.0,0.0
105759,2021,569.0,569.0,0.0
105767,2021,209.0,209.0,0.0
109746,2021,146.0,146.0,0.0
110310,2021,23.0,23.0,0.0
110612,2021,250.0,250.0,0.0
110981,2021,120.0,120.0,0.0
112062,2021,114.0,114.0,0.0
112542,2021,45.0,45.0,0.0
113921,2021,143.0,143.0,0.0
115509,2021,120.0,120.0,0.0
127604,2021,36.0,36.0,0.0
127876,2021,39.0,39.0,0.0
133272,2021,57.0,57.0,0.0
134163,2021,13.0,13.0,0.0
136328,2021,46.0,46.0,0.0
158100,2021,92.0,92.0,0.0
158119,2021,23.0,23.0,0.0
161438,2021,312.0,312.0,0.0
163279,2021,61.0,61.0,0.0
189979,2021,69.0,69.0,0.0
197831,2021,29.0,29.0,0.0
213527,2021,50.0,50.0,0.0
255297,2021,276.0,276.0,0.0
255874,2021,0.0,0.0,0.0
260134,2021,6.0,6.0,0.0
302961,2021,135.0,135.0,0.0
478024,2021,3.0,3.0,0.0
478849,2021,107.0,107.0,0.0
502138,2021,31.0,31.0,0.0
604828,2021,14.0,14.0,0.0
605107,2021,143.0,143.0,0.0
605484,2021,28.0,28.0,0.0
621110,2021,21.0,21.0,0.0
625469,2021,113.0,113.0,0.0
636800,2021,25.0,25.0,0.0
647101,2021,0.0,0.0,0.0
648582,2021,2.0,2.0,0.0
650587,2021,3.0,3.0,0.0
650595,2021,0.0,0.0,0.0
665037,2021,27.0,27.0,0.0
684651,2021,0.0,0.0,0.0
694622,2021,105.0,105.0,0.0
792063,2021,15.0,15.0,0.0
2022621,2021,1.0,1.0,0.0
2022648,2021,347.0,347.0,0.0
2023016,2021,63.0,63.0,0.0
2023474,2021,172.0,172.0,0.0
2023709,2021,40.0,40.0,0.0
2023865,2021,3.0,3.0,0.0
2024691,2021,334.0,334.0,0.0
2024756,2021,94.0,94.0,0.0
2024772,2021,17.0,17.0,0.0
2025361,2021,12.0,12.0,0.0
2025477,2021,123.0,123.0,0.0
2025507,2021,289.0,289.0,0.0
2025752,2021,86.0,86.0,0.0
2026805,2021,31.0,31.0,0.0
2027186,2021,345.0,345.0,0.0
2027240,2021,0.0,0.0,0.0
2027356,2021,0.0,0.0,0.0
2028204,2021,71.0,71.0,0.0
2028239,2021,16.0,16.0,0.0
2028840,2021,346.0,346.0,0.0
2039001,2021,108.0,108.0,0.0
2040069,2021,1.0,1.0,0.0
2042894,2021,9.0,9.0,0.0
2053500,2021,5.0,5.0,0.0
2053519,2021,8.0,8.0,0.0
2058243,2021,10.0,10.0,0.0
2058340,2021,0.0,0.0,0.0
2058405,2021,0.0,0.0,0.0
2058790,2021,382.0,382.0,0.0
2065665,2021,0.0,0.0,0.0
2066092,2021,314.0,314.0,0.0
2066572,2021,103.0,103.0,0.0
2069776,2021,47.0,47.0,0.0
2071371,2021,1.0,1.0,0.0
2071568,2021,167.0,167.0,0.0
2072033,2021,14.0,14.0,0.0
2072513,2021,1.0,1.0,0.0
2075717,2021,1.0,1.0,0.0
2075962,2021,204.0,204.0,0.0
2076896,2021,77.0,77.0,0.0
2076926,2021,31.0,31.0,0.0
2076942,2021,15.0,15.0,0.0
2077078,2021,19.0,19.0,0.0
2077124,2021,0.0,0.0,0.0
2077396,2021,841.0,841.0,0.0
2077426,2021,262.0,262.0,0.0
2077434,2021,183.0,183.0,0.0
2077450,2021,329.0,329.0,0.0
2077477,2021,506.0,506.0,0.0
2077485,2021,294.0,294.0,0.0
2077493,2021,219.0,219.0,0.0
2077515,2021,0.0,0.0,0.0
2077523,2021,226.0,226.0,0.0
2077531,2021,22.0,22.0,0.0
2077558,2021,17.0,17.0,0.0
2077566,2021,1.0,1.0,0.0
2077574,2021,227.0,227.0,0.0
2077582,2021,99.0,99.0,0.0
2077590,2021,27.0,27.0,0.0
2077620,2021,148.0,148.0,0.0
2077639,2021,385.0,385.0,0.0
2077647,2021,158.0,158.0,0.0
2077671,2021,73.0,73.0,0.0
2077701,2021,1.0,1.0,0.0
2078015,2021,766.0,766.0,0.0
2078074,2021,239.0,239.0,0.0
2078104,2021,86.0,86.0,0.0
2078112,2021,2.0,2.0,0.0
2078139,2021,82.0,82.0,0.0
2078155,2021,15.0,15.0,0.0
2078198,2021,1.0,1.0,0.0
2078252,2021,152.0,152.0,0.0
2078287,2021,19.0,19.0,0.0
2078295,2021,60.0,60.0,0.0
2078325,2021,0.0,0.0,0.0
2078341,2021,55.0,55.0,0.0
2078414,2021,39.0,39.0,0.0
2078422,2021,88.0,88.0,0.0
2078449,2021,27.0,27.0,0.0
2078465,2021,58.0,58.0,0.0
2078473,2021,110.0,110.0,0.0
2078503,2021,235.0,235.0,0.0
2078511,2021,120.0,120.0,0.0
2078538,2021,94.0,94.0,0.0
2078562,2021,177.0,177.0,0.0
2078570,2021,12.0,12.0,0.0
2078775,2021,597.0,597.0,0.0
2078848,2021,189.0,189.0,0.0
2078902,2021,22.0,22.0,0.0
2078937,2021,5.0,5.0,0.0
2079011,2021,105.0,105.0,0.0
2079097,2021,85.0,85.0,0.0
2079135,2021,228.0,228.0,0.0
2079186,2021,0.0,0.0,0.0
2079194,2021,1.0,1.0,0.0
2079216,2021,21.0,21.0,0.0
2079224,2021,8.0,8.0,0.0
2079232,2021,143.0,143.0,0.0
2079240,2021,477.0,477.0,0.0
2079283,2021,25.0,25.0,0.0
2079291,2021,7.0,7.0,0.0
2079313,2021,4.0,4.0,0.0
2079321,2021,1.0,1.0,0.0
2079348,2021,94.0,94.0,0.0
2079356,2021,29.0,29.0,0.0
2079364,2021,3.0,3.0,0.0
2079380,2021,10.0,10.0,0.0
2079399,2021,15.0,15.0,0.0
2079410,2021,471.0,471.0,0.0
2079429,2021,74.0,74.0,0.0
2079437,2021,10.0,10.0,0.0
2079461,2021,19.0,19.0,0.0
2079496,2021,18.0,18.0,0.0
2079518,2021,18.0,18.0,0.0
2079593,2021,116.0,116.0,0.0
2079615,2021,110.0,110.0,0.0
2079682,2021,5.0,5.0,0.0
2079690,2021,2.0,2.0,0.0
2079704,2021,64.0,64.0,0.0
2079720,2021,143.0,143.0,0.0
2079798,2021,202.0,202.0,0.0
2079828,2021,71.0,71.0,0.0
2079836,2021,86.0,86.0,0.0
2079852,2021,17.0,17.0,0.0
2079879,2021,84.0,84.0,0.0
2079895,2021,233.0,233.0,0.0
2079917,2021,72.0,72.0,0.0
2079925,2021,103.0,103.0,0.0
2079968,2021,2.0,2.0,0.0
2079976,2021,113.0,113.0,0.0
2080028,2021,345.0,345.0,0.0
2080044,2021,80.0,80.0,0.0
2080052,2021,74.0,74.0,0.0
2080079,2021,283.0,283.0,0.0
2080087,2021,40.0,40.0,0.0
2080095,2021,52.0,52.0,0.0
2080125,2021,58.0,58.0,0.0
2080184,2021,26.0,26.0,0.0
2080192,2021,1.0,1.0,0.0
2080222,2021,13.0,13.0,0.0
2080273,2021,287.0,287.0,0.0
2080281,2021,12.0,12.0,0.0
2080338,2021,369.0,369.0,0.0
2080346,2021,26.0,26.0,0.0
2080354,2021,27.0,27.0,0.0
2080370,2021,13.0,13.0,0.0
2080400,2021,140.0,140.0,0.0
2080427,2021,2.0,2.0,0.0
2080443,2021,112.0,112.0,0.0
2080451,2021,119.0,119.0,0.0
2080478,2021,3.0,3.0,0.0
2080508,2021,25.0,25.0,0.0
2080524,2021,28.0,28.0,0.0
2080532,2021,131.0,131.0,0.0
2080575,2021,2.0,2.0,0.0
2080583,2021,702.0,702.0,0.0
2080605,2021,8.0,8.0,0.0
2080621,2021,23.0,23.0,0.0
2080664,2021,219.0,219.0,0.0
2080680,2021,302.0,302.0,0.0
2080737,2021,3.0,3.0,0.0
2080745,2021,19.0,19.0,0.0
2080788,2021,71.0,71.0,0.0
2080826,2021,7.0,7.0,0.0
2080842,2021,74.0,74.0,0.0
2080907,2021,2.0,2.0,0.0
2080915,2021,23.0,23.0,0.0
2080923,2021,129.0,129.0,0.0
2080931,2021,210.0,210.0,0.0
2080958,2021,18.0,18.0,0.0
2080982,2021,2.0,2.0,0.0
2081059,2021,217.0,217.0,0.0
2081083,2021,204.0,204.0,0.0
2081091,2021,226.0,226.0,0.0
2081105,2021,14.0,14.0,0.0
2081164,2021,277.0,277.0,0.0
2081202,2021,0.0,0.0,0.0
2081229,2021,12.0,12.0,0.0
2081237,2021,6.0,6.0,0.0
2081245,2021,2.0,2.0,0.0
